2024-02-02 15:38:34.379 [main] INFO  com.sl.pp.AppMain - AppMain.main() :: Execution Started 
2024-02-02 15:38:34.390 [pool-2-thread-1] INFO  com.sl.pp.service.XmlService - InsertProcess::XmlService Started
2024-02-02 15:38:35.104 [pool-2-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.getXMLFiles() :: total xml files present 187
2024-02-02 15:39:07.755 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ111220231.xml moved to null
2024-02-02 15:39:08.608 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ121220234.xml moved to null
2024-02-02 15:39:08.708 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ131220231.xml moved to null
2024-02-02 15:39:08.717 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ121220235.xml moved to null
2024-02-02 15:39:09.156 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ101220233.xml moved to null
2024-02-02 15:39:09.340 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ131220232.xml moved to null
2024-02-02 15:39:09.620 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ121220233.xml moved to null
2024-02-02 15:39:09.625 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ141220231.xml moved to null
2024-02-02 15:39:10.086 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ151220231.xml moved to null
2024-02-02 15:39:10.616 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ141220232.xml moved to null
2024-02-02 15:39:10.626 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ151220233.xml moved to null
2024-02-02 15:39:10.631 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ151220232.xml moved to null
2024-02-02 15:39:10.689 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ151220234.xml moved to null
2024-02-02 15:39:10.959 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161120232.xml moved to null
2024-02-02 15:39:11.185 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161120233.xml moved to null
2024-02-02 15:39:11.489 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161120235.xml moved to null
2024-02-02 15:39:11.692 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161120237.xml moved to null
2024-02-02 15:39:12.219 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161220231.xml moved to null
2024-02-02 15:39:12.441 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161220232.xml moved to null
2024-02-02 15:39:12.502 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ161120236.xml moved to null
